Query	Entry	Entry name	Status	Protein names	Gene ontology IDs	Gene names	Organism	Length
P16083	P16083	NQO2_HUMAN	reviewed	Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2)	GO:0001512; GO:0005654; GO:0005829; GO:0006805; GO:0008270; GO:0009055; GO:0016491; GO:0016661; GO:0031404; GO:0042803; GO:0055114; GO:0070062; GO:0071949; GO:1904408; GO:1905594	NQO2 NMOR2	Homo sapiens (Human)	231
P10145	P10145	IL8_HUMAN	reviewed	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	GO:0001525; GO:0002237; GO:0005153; GO:0005576; GO:0005615; GO:0005622; GO:0006935; GO:0006954; GO:0006955; GO:0007050; GO:0007165; GO:0007186; GO:0008009; GO:0008285; GO:0019221; GO:0019722; GO:0030155; GO:0030593; GO:0031623; GO:0031640; GO:0034976; GO:0035556; GO:0036499; GO:0042119; GO:0044344; GO:0045091; GO:0045744; GO:0045766; GO:0048566; GO:0050930; GO:0061844; GO:0070098; GO:0071222; GO:0071347; GO:0071356; GO:0090023; GO:2000535	CXCL8 IL8	Homo sapiens (Human)	99
P61769	P61769	B2MG_HUMAN	reviewed	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	GO:0000139; GO:0001895; GO:0001916; GO:0002237; GO:0002474; GO:0002479; GO:0002480; GO:0002481; GO:0002726; GO:0003254; GO:0005576; GO:0005615; GO:0005788; GO:0005794; GO:0005829; GO:0005886; GO:0005925; GO:0009897; GO:0010977; GO:0012507; GO:0016020; GO:0019731; GO:0019885; GO:0030670; GO:0031901; GO:0031905; GO:0032092; GO:0033077; GO:0033216; GO:0035580; GO:0042026; GO:0042493; GO:0042612; GO:0042802; GO:0043312; GO:0044267; GO:0045087; GO:0045646; GO:0046686; GO:0048260; GO:0050690; GO:0050776; GO:0050829; GO:0050830; GO:0055038; GO:0055072; GO:0060333; GO:0061844; GO:0070062; GO:0071222; GO:0071281; GO:0071283; GO:1900121; GO:1900122; GO:1900390; GO:1904434; GO:1904437; GO:1904724; GO:1990712	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
P02144	P02144	MYG_HUMAN	reviewed	Myoglobin	GO:0001666; GO:0005344; GO:0005829; GO:0007507; GO:0009725; GO:0015671; GO:0019825; GO:0020037; GO:0031444; GO:0042542; GO:0043353; GO:0046872; GO:0050873; GO:0070062	MB	Homo sapiens (Human)	154
P08263	P08263	GSTA1_HUMAN	reviewed	Glutathione S-transferase A1 (EC 2.5.1.18) (GST HA subunit 1) (GST class-alpha member 1) (GST-epsilon) (GSTA1-1) (GTH1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed]	GO:0004364; GO:0004602; GO:0005829; GO:0006749; GO:0030855; GO:0043651; GO:0070062; GO:1901687	GSTA1	Homo sapiens (Human)	222
P55957	P55957	BID_HUMAN	reviewed	BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)]	GO:0001836; GO:0005123; GO:0005739; GO:0005741; GO:0005829; GO:0006626; GO:0006919; GO:0008625; GO:0008637; GO:0010918; GO:0016020; GO:0031625; GO:0032461; GO:0032464; GO:0032592; GO:0042127; GO:0042770; GO:0042775; GO:0042981; GO:0043065; GO:0043066; GO:0046982; GO:0051260; GO:0051402; GO:0090150; GO:0090200; GO:0097284; GO:0097345; GO:1900740; GO:1901030; GO:1902230; GO:2000045; GO:2000271; GO:2001238; GO:2001244	BID	Homo sapiens (Human)	195
P00709	P00709	LALBA_HUMAN	reviewed	Alpha-lactalbumin (Lactose synthase B protein) (Lysozyme-like protein 7)	GO:0000139; GO:0003796; GO:0004461; GO:0005509; GO:0005615; GO:0005796; GO:0005989; GO:0006915; GO:0007165; GO:0007267; GO:0016998; GO:0042742; GO:0050829; GO:0050830	LALBA LYZL7	Homo sapiens (Human)	142
P69905	P69905	HBA_HUMAN	reviewed	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain)	GO:0005344; GO:0005506; GO:0005576; GO:0005615; GO:0005829; GO:0005833; GO:0006898; GO:0010942; GO:0015671; GO:0015701; GO:0016020; GO:0019825; GO:0020037; GO:0022627; GO:0031838; GO:0042542; GO:0042744; GO:0051291; GO:0070062; GO:0071682; GO:0072562; GO:0098869	HBA1; HBA2	Homo sapiens (Human)	142
P01344	P01344	IGF2_HUMAN	reviewed	Insulin-like growth factor II (IGF-II) (Somatomedin-A) (T3M-11-derived growth factor) [Cleaved into: Insulin-like growth factor II; Insulin-like growth factor II Ala-25 Del; Preptin]	GO:0000122; GO:0001501; GO:0001649; GO:0001701; GO:0001892; GO:0001934; GO:0002576; GO:0005158; GO:0005159; GO:0005178; GO:0005179; GO:0005576; GO:0005615; GO:0006006; GO:0006349; GO:0006355; GO:0007275; GO:0008083; GO:0008284; GO:0008286; GO:0009887; GO:0031017; GO:0031056; GO:0031093; GO:0038028; GO:0040018; GO:0042104; GO:0043085; GO:0043410; GO:0043539; GO:0044267; GO:0045725; GO:0045840; GO:0045944; GO:0046628; GO:0048018; GO:0050731; GO:0051146; GO:0051147; GO:0051781; GO:0051897; GO:0060669; GO:2000467	IGF2 PP1446	Homo sapiens (Human)	180
P00915	P00915	CAH1_HUMAN	reviewed	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I)	GO:0004064; GO:0004089; GO:0005829; GO:0006730; GO:0008270; GO:0015701; GO:0016836; GO:0035722; GO:0070062	CA1	Homo sapiens (Human)	261
P08758	P08758	ANXA5_HUMAN	reviewed	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	GO:0002576; GO:0004859; GO:0005509; GO:0005543; GO:0005544; GO:0005576; GO:0005622; GO:0005737; GO:0005829; GO:0005925; GO:0007165; GO:0007596; GO:0009897; GO:0010033; GO:0016020; GO:0043066; GO:0050819; GO:0062023; GO:0070062; GO:0072563	ANXA5 ANX5 ENX2 PP4	Homo sapiens (Human)	320
P00918	P00918	CAH2_HUMAN	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)	GO:0001822; GO:0002009; GO:0004064; GO:0004089; GO:0005737; GO:0005829; GO:0005886; GO:0005902; GO:0008270; GO:0009268; GO:0010043; GO:0015670; GO:0015701; GO:0016323; GO:0030424; GO:0032230; GO:0032849; GO:0038166; GO:0042475; GO:0043209; GO:0043627; GO:0044070; GO:0045177; GO:0045672; GO:0045780; GO:0046903; GO:0048545; GO:0051453; GO:0070062; GO:0071498; GO:2001150; GO:2001225	CA2	Homo sapiens (Human)	260
P62937	P62937	PPIA_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	GO:0000413; GO:0003723; GO:0003755; GO:0005576; GO:0005615; GO:0005634; GO:0005829; GO:0005925; GO:0006278; GO:0006457; GO:0016018; GO:0016020; GO:0019058; GO:0019061; GO:0019064; GO:0019068; GO:0019076; GO:0030260; GO:0031982; GO:0032991; GO:0034389; GO:0034774; GO:0035722; GO:0043312; GO:0045069; GO:0045070; GO:0046790; GO:0050714; GO:0050900; GO:0051082; GO:0070062; GO:0075713; GO:1904813	PPIA CYPA	Homo sapiens (Human)	165
P00441	P00441	SODC_HUMAN	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1)	GO:0000187; GO:0000303; GO:0001541; GO:0001819; GO:0001890; GO:0001895; GO:0001975; GO:0002262; GO:0002576; GO:0004784; GO:0005507; GO:0005576; GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005758; GO:0005759; GO:0005764; GO:0005777; GO:0005829; GO:0006749; GO:0006801; GO:0006879; GO:0007283; GO:0007566; GO:0007569; GO:0007605; GO:0007626; GO:0008089; GO:0008090; GO:0008217; GO:0008270; GO:0009408; GO:0010033; GO:0019226; GO:0019430; GO:0030346; GO:0031012; GO:0031045; GO:0031410; GO:0032287; GO:0032839; GO:0032930; GO:0032991; GO:0033081; GO:0034465; GO:0034599; GO:0035722; GO:0035865; GO:0040014; GO:0042493; GO:0042542; GO:0042554; GO:0042802; GO:0042803; GO:0043025; GO:0043065; GO:0043085; GO:0043087; GO:0043209; GO:0043524; GO:0045471; GO:0045541; GO:0045859; GO:0046620; GO:0046688; GO:0046716; GO:0048365; GO:0048538; GO:0048678; GO:0050665; GO:0051087; GO:0051881; GO:0060047; GO:0060052; GO:0060087; GO:0060088; GO:0070062; GO:0071276; GO:0071318; GO:0072593; GO:0097332; GO:1902177; GO:1904115	SOD1	Homo sapiens (Human)	154
P05413	P05413	FABPH_HUMAN	reviewed	Fatty acid-binding protein, heart (Fatty acid-binding protein 3) (Heart-type fatty acid-binding protein) (H-FABP) (Mammary-derived growth inhibitor) (MDGI) (Muscle fatty acid-binding protein) (M-FABP)	GO:0005324; GO:0005615; GO:0005829; GO:0006631; GO:0008092; GO:0008285; GO:0016528; GO:0019433; GO:0032868; GO:0036041; GO:0042493; GO:0042632; GO:0044539; GO:0046320; GO:0050543; GO:0055091; GO:0070062; GO:0070538; GO:0070542; GO:0071073; GO:2001245	FABP3 FABP11 MDGI	Homo sapiens (Human)	133
O00762	O00762	UBE2C_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	GO:0000151; GO:0004842; GO:0005524; GO:0005654; GO:0005680; GO:0005737; GO:0005829; GO:0005886; GO:0006511; GO:0010458; GO:0010994; GO:0016567; GO:0030071; GO:0031145; GO:0031536; GO:0031625; GO:0044389; GO:0051301; GO:0061630; GO:0061631; GO:0070936; GO:0070979; GO:1904668	UBE2C UBCH10	Homo sapiens (Human)	179
P41159	P41159	LEP_HUMAN	reviewed	Leptin (Obese protein) (Obesity factor)	GO:0000122; GO:0001525; GO:0001542; GO:0001666; GO:0001890; GO:0001936; GO:0002021; GO:0003300; GO:0005179; GO:0005576; GO:0005615; GO:0005737; GO:0006006; GO:0006111; GO:0006112; GO:0006114; GO:0006629; GO:0006635; GO:0006909; GO:0007260; GO:0007565; GO:0007623; GO:0008203; GO:0008206; GO:0008217; GO:0008343; GO:0010507; GO:0010888; GO:0014068; GO:0014823; GO:0019953; GO:0021954; GO:0030073; GO:0030217; GO:0030300; GO:0032008; GO:0032099; GO:0032310; GO:0032355; GO:0032615; GO:0032760; GO:0032814; GO:0032817; GO:0032868; GO:0033197; GO:0033210; GO:0033686; GO:0035360; GO:0035630; GO:0038108; GO:0042102; GO:0042269; GO:0042307; GO:0042445; GO:0042531; GO:0042593; GO:0042755; GO:0043066; GO:0043270; GO:0043410; GO:0044320; GO:0045471; GO:0045765; GO:0045906; GO:0046325; GO:0046427; GO:0046628; GO:0046850; GO:0046881; GO:0048639; GO:0050796; GO:0050810; GO:0050892; GO:0050901; GO:0050999; GO:0051428; GO:0051726; GO:0051897; GO:0060587; GO:0060612; GO:0061037; GO:0070093; GO:0071298; GO:0071300; GO:0072604; GO:0072606; GO:0090335; GO:0098868; GO:0120162; GO:1900015; GO:1900745; GO:1904651; GO:1990051; GO:2000379; GO:2000486; GO:2000491	LEP OB OBS	Homo sapiens (Human)	167
P02788	P02788	TRFL_HUMAN	reviewed	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]	GO:0001503; GO:0001530; GO:0001817; GO:0001895; GO:0002227; GO:0003677; GO:0004252; GO:0004869; GO:0005506; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0006351; GO:0006811; GO:0006959; GO:0008201; GO:0009986; GO:0019730; GO:0019731; GO:0019732; GO:0030141; GO:0031640; GO:0031665; GO:0032680; GO:0032780; GO:0032991; GO:0033214; GO:0033690; GO:0034145; GO:0035580; GO:0042581; GO:0043066; GO:0043123; GO:0043312; GO:0043539; GO:0044218; GO:0044267; GO:0044793; GO:0045071; GO:0045087; GO:0045669; GO:0045837; GO:0048525; GO:0050829; GO:0050830; GO:0051092; GO:0051673; GO:0060349; GO:0061844; GO:0070062; GO:0071902; GO:0097013; GO:1900159; GO:1900229; GO:1902732; GO:1904724; GO:2000117; GO:2000308; GO:2001205	LTF GIG12 LF	Homo sapiens (Human)	710
P09211	P09211	GSTP1_HUMAN	reviewed	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GO:0000302; GO:0002674; GO:0004364; GO:0004602; GO:0005576; GO:0005615; GO:0005622; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006469; GO:0006749; GO:0006805; GO:0007417; GO:0008144; GO:0008432; GO:0009890; GO:0010804; GO:0014003; GO:0019207; GO:0031100; GO:0031982; GO:0032355; GO:0032691; GO:0032720; GO:0032869; GO:0032872; GO:0032873; GO:0032930; GO:0033591; GO:0034774; GO:0035726; GO:0035730; GO:0035731; GO:0035732; GO:0043066; GO:0043124; GO:0043200; GO:0043295; GO:0043312; GO:0043407; GO:0043409; GO:0043508; GO:0043651; GO:0045471; GO:0048147; GO:0051771; GO:0070026; GO:0070062; GO:0070372; GO:0070373; GO:0070664; GO:0071222; GO:0071364; GO:0071385; GO:0071460; GO:0071638; GO:0071672; GO:0097057; GO:1901687; GO:1904706; GO:1904813; GO:2001237	GSTP1 FAEES3 GST3	Homo sapiens (Human)	210
P01031	P01031	CO5_HUMAN	reviewed	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	GO:0000187; GO:0001701; GO:0004866; GO:0005102; GO:0005576; GO:0005579; GO:0005615; GO:0006935; GO:0006954; GO:0006957; GO:0006958; GO:0007166; GO:0007186; GO:0008009; GO:0010575; GO:0010760; GO:0019835; GO:0030449; GO:0045766; GO:0070062; GO:0090197	C5 CPAMD4	Homo sapiens (Human)	1676
P10636-8	P10636	TAU_HUMAN	reviewed	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	GO:0000226; GO:0001774; GO:0003677; GO:0003680; GO:0003690; GO:0003697; GO:0003723; GO:0003779; GO:0005576; GO:0005622; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0005874; GO:0005875; GO:0005886; GO:0006475; GO:0006919; GO:0007267; GO:0007416; GO:0007611; GO:0007613; GO:0008017; GO:0010288; GO:0010506; GO:0010629; GO:0010917; GO:0015630; GO:0016072; GO:0016607; GO:0017124; GO:0019896; GO:0019899; GO:0019901; GO:0021954; GO:0030424; GO:0030425; GO:0030426; GO:0030673; GO:0030674; GO:0031110; GO:0031113; GO:0031116; GO:0031122; GO:0031175; GO:0032930; GO:0033044; GO:0033673; GO:0034063; GO:0034185; GO:0034399; GO:0034452; GO:0034605; GO:0034614; GO:0035091; GO:0036464; GO:0036477; GO:0042802; GO:0042803; GO:0043025; GO:0043197; GO:0043565; GO:0044297; GO:0044304; GO:0045121; GO:0045298; GO:0045773; GO:0046785; GO:0048018; GO:0048143; GO:0048167; GO:0048312; GO:0048699; GO:0050808; GO:0050848; GO:0051087; GO:0051259; GO:0051260; GO:0051721; GO:0051879; GO:0061564; GO:0070507; GO:0071813; GO:0072386; GO:0090140; GO:0090258; GO:0097386; GO:0097418; GO:0097435; GO:0098930; GO:0099077; GO:0099609; GO:1900034; GO:1900452; GO:1901216; GO:1902474; GO:1902936; GO:1902988; GO:1903748; GO:1903829; GO:1904115; GO:1904428; GO:1905689; GO:1990000; GO:1990090; GO:1990416; GO:2001020	MAPT MAPTL MTBT1 TAU	Homo sapiens (Human)	758
